StudentID,Gender_F,Year1_GPA,Year2_GPA,Year3_GPA,Credit_Hours_Avg,Final_Year_GPA
2020ITIBB0144,0,1.6,1.78,1.0,10.0,2.02
2020ITIBB0109,1,3.4,3.52,3.65,17.0,3.62
2020ITIBB0158,0,3.15,3.25,3.42,16.5,3.4
2020ITIBB0084,0,2.5,2.7,2.9,14.5,2.95
2020ITIBB0194,0,3.4,3.45,3.58,17.0,3.55
2020ITIBB0118,0,2.85,3.05,3.25,15.5,3.2
2020ITIBB0145,1,3.8,3.82,3.9,18.5,3.85
2020ITIBB0176,0,3.0,3.1,3.25,16.0,3.22
2020ITIBB0196,0,3.55,3.6,3.72,17.5,3.68
2020ITIBB0085,1,3.01,3.2,3.4,16.0,3.38
2020ITIBB0089,0,2.4,2.65,2.85,14.5,2.9
2020ITIBB0168,0,2.75,2.92,3.12,15.5,3.1
2020ITIBB0082,0,2.21,2.45,2.6,14.0,2.71
2020ITIBB0092,0,3.35,3.52,3.68,17.0,3.65
2020ITIBB0113,1,3.15,3.3,3.48,16.5,3.45
2020ITIBB0147,1,2.85,3.02,3.22,15.5,3.18
2020ITIBB0173,1,3.25,3.32,3.48,16.5,3.45
2020ITIBB0361,1,3.44,3.5,3.62,17.5,3.7
2020ITIBB0156,0,2.8,2.98,3.18,15.5,3.15
2020ITIBB0183,1,2.8,2.95,3.18,15.5,3.15
2020ITIBB0175,1,3.45,3.52,3.65,17.0,3.6
2020ITIBB0129,1,3.3,3.42,3.58,17.0,3.55
2020ITIBB0125,1,3.55,3.65,3.78,17.5,3.72
2020ITIBB0159,1,2.6,2.78,3.0,15.0,3.02
2020ITIBB0121,1,2.5,2.72,2.95,14.5,2.9
2020ITIBB0160,0,3.75,3.78,3.85,18.0,3.8
2020ITIBB0136,0,3.15,3.28,3.45,16.5,3.42
2020ITIBB0197,1,1.9,2.18,3.5,10.5,2.32
2020ITIBB0154,0,3.6,3.68,3.78,17.5,3.72
2020ITIBB0186,0,2.6,2.75,2.98,15.0,3.02
2020ITIBB0116,0,3.05,3.22,3.4,16.0,3.38
2020ITIBB0133,1,3.4,3.5,3.65,17.0,3.62
2020ITIBB0165,1,2.55,2.72,2.95,14.5,2.92
2020ITIBB0123,1,3.45,3.55,3.68,17.5,3.65
2020ITIBB0163,1,3.65,3.7,3.82,18.0,3.75
2020ITIBB0182,0,3.05,3.15,3.32,16.0,3.28
2020ITIBB0132,0,3.75,3.8,3.88,18.0,3.82
2020ITIBB0150,0,2.5,2.68,2.9,14.5,2.88
2020ITIBB0107,1,3.5,3.62,3.75,17.5,3.72
2020ITIBB0193,1,3.8,3.82,3.9,18.5,3.85
2020ITIBB0134,0,2.9,3.08,3.28,16.0,3.25
2020ITIBB0138,0,3.85,3.88,3.94,18.5,3.9
2020ITIBB0180,0,2.7,2.85,3.08,15.0,3.05
2020ITIBB0112,0,3.7,3.78,3.87,18.0,3.82
2020ITIBB0104,0,2.55,2.78,3.0,14.5,2.95
2020ITIBB0187,1,3.75,3.78,3.85,18.0,3.8
2020ITIBB0360,0,2.88,3.01,3.15,15.5,3.22
2020ITIBB0127,1,3.65,3.72,3.82,18.0,3.78
2020ITIBB0096,0,2.65,2.88,3.1,15.0,3.05
2020ITIBB0081,1,3.95,3.88,3.99,19.0,3.9
2020ITIBB0098,0,2.9,3.12,3.32,16.0,3.28
2020ITIBB0178,0,3.85,3.88,3.94,18.5,3.9
2020ITIBB0174,0,2.85,3.0,3.2,15.5,3.18
2020ITIBB0162,0,2.9,3.05,3.25,16.0,3.22
2020ITIBB0189,1,1.9,1.02,1.22,16.0,1.95
2020ITIBB0149,1,3.1,3.22,3.38,16.5,3.35
2020ITIBB0161,1,3.3,3.38,3.52,17.0,3.55
2020ITIBB0157,1,3.5,3.58,3.7,17.5,3.65
2020ITIBB0200,0,0.9,1.0,1.48,8.5,1.5
2020ITIBB0095,1,3.2,3.38,3.55,16.5,3.52
2020ITIBB0135,1,3.5,3.6,3.72,17.5,3.68
2020ITIBB0146,0,3.2,3.32,3.48,16.5,3.45
2020ITIBB0181,1,3.6,3.65,3.78,17.5,3.72
2020ITIBB0090,1,3.15,3.3,3.48,16.5,3.42
2020ITIBB0167,1,3.4,3.45,3.6,17.0,3.58
2020ITIBB0126,0,3.0,3.15,3.32,16.0,3.28
2020ITIBB0177,1,2.5,2.65,2.88,14.5,2.85
